SOM Class,FBGN,NAME,SYMBOL,Day9.Day2_FoldChange,Day9.Day2_P.Value,Day9.Day2_adj.P.Val,Day9.Day2_Flag,Day16_FoldChange,Day16_P.Value,Day16_adj.P.Val,Day16_Flag,Day23_FoldChange,Day23_P.Value,Day23_adj.P.Val,Day23_Flag,Day30_FoldChange,Day30_P.Value,Day30_adj.P.Val,Day30_Flag,Day37_FoldChange,Day37_P.Value,Day37_adj.P.Val,Day37_Flag,Day44_FoldChange,Day44_P.Value,Day44_adj.P.Val,Day44_Flag,Day51_FoldChange,Day51_P.Value,Day51_adj.P.Val,Day51_Flag,Day58_FoldChange,Day58_P.Value,Day58_adj.P.Val,Day58_Flag,Day65_FoldChange,Day65_P.Value,Day65_adj.P.Val,Day65_Flag,Day72_FoldChange,Day72_P.Value,Day72_adj.P.Val,Day72_Flag,Day79_FoldChange,Day79_P.Value,Day79_adj.P.Val,Day79_Flag,SOM Class
1,FBgn0053519,Unc-89,Unc-89,-1.14,0.181393,0.999395,0,-1.51,4.30E-05,0.016246,1,-1.58,9.00E-06,0.001146,1,-1.58,8.00E-06,0.000683,1,-1.75,0,1.90E-05,1,-2.11,0,0,1,-2.17,0,0,1,-2.19,0,0,1,-2.3,0,0,1,-2.19,0,0,1,-2.37,0,0,1,1
1,FBgn0011693,Photoreceptor dehydrogenase,Pdh,-1.07,0.584593,0.999395,0,-1.68,7.30E-05,0.023409,1,-1.84,6.00E-06,0.000805,1,-2.42,0,0,1,-2.29,0,1.00E-06,1,-1.72,4.20E-05,0.001328,1,-1.97,1.00E-06,4.60E-05,1,-2.29,0,1.00E-06,1,-2.66,0,0,1,-2.45,0,0,1,-2.85,0,0,1,1
1,FBgn0000045,Actin 79B,Act79B,-1.39,0.000134,0.195811,0,-2.02,0,0,1,-2.13,0,0,1,-2.42,0,0,1,-2.34,0,0,1,-2.73,0,0,1,-2.58,0,0,1,-2.75,0,0,1,-2.93,0,0,1,-2.88,0,0,1,-2.85,0,0,1,1
3,FBgn0039897,CG1674,CG1674,-1.26,0.00392,0.670117,0,-1.51,1.00E-06,0.001074,1,-1.58,0,4.80E-05,1,-1.56,0,5.10E-05,1,-1.57,0,1.80E-05,1,-1.69,0,1.00E-06,1,-1.57,0,1.50E-05,1,-1.6,0,5.00E-06,1,-1.51,1.00E-06,5.80E-05,1,-1.62,0,2.00E-06,1,-1.5,2.00E-06,6.30E-05,1,3
3,FBgn0032946,nervana 3,nrv3,-1.28,0.010048,0.822654,0,-1.69,0,0.000528,1,-1.56,9.00E-06,0.001151,1,-1.68,3.00E-06,0.000309,1,-1.73,0,1.70E-05,1,-1.52,3.10E-05,0.001026,1,-1.67,1.00E-06,4.50E-05,1,-1.83,0,1.00E-06,1,-1.92,0,0,1,-1.86,0,1.00E-06,1,-1.62,2.00E-06,7.80E-05,1,3
3,FBgn0037910,CG14708,CG14708,-1.21,0.063404,0.999395,0,-1.56,5.60E-05,0.018768,1,-1.53,1.00E-04,0.007256,1,-1.67,4.00E-06,0.000415,1,-1.65,8.00E-06,0.000442,1,-1.71,2.00E-06,0.00011,1,-1.61,1.70E-05,0.000656,1,-1.92,0,3.00E-06,1,-1.78,0,2.20E-05,1,-1.97,0,1.00E-06,1,-1.69,3.00E-06,0.000115,1,3
3,FBgn0031942,CG7203,CG7203,-1.37,0.004588,0.670117,0,-1.6,5.10E-05,0.01804,1,-1.96,0,2.70E-05,1,-1.7,7.00E-06,0.000601,1,-1.71,5.00E-06,0.000317,1,-1.83,1.00E-06,3.40E-05,1,-1.69,9.00E-06,0.000374,1,-1.86,0,1.90E-05,1,-1.8,1.00E-06,4.50E-05,1,-1.69,8.00E-06,0.000233,1,-1.75,1.40E-05,0.000403,1,3
3,FBgn0005666,bent,bt,-1.33,0.002193,0.588287,0,-1.62,2.00E-06,0.001222,1,-1.71,0,5.70E-05,1,-1.85,0,2.00E-06,1,-1.67,0,3.70E-05,1,-1.97,0,0,1,-1.8,0,2.00E-06,1,-1.94,0,0,1,-1.76,0,3.00E-06,1,-1.72,0,6.00E-06,1,-1.9,0,0,1,3
3,FBgn0038294,Myofilin,Mf,-1.18,0.084362,0.999395,0,-1.61,3.00E-06,0.002122,1,-1.63,2.00E-06,4.00E-04,1,-1.67,1.00E-06,0.000114,1,-1.68,1.00E-06,5.40E-05,1,-1.95,0,0,1,-2.13,0,0,1,-2.13,0,0,1,-2.14,0,0,1,-2.25,0,0,1,-2.11,0,0,1,3
5,FBgn0033593,CG9080,CG9080,1.29,0.109336,0.999395,0,1.97,5.80E-05,0.01908,1,2.29,2.00E-06,0.00036,1,1.82,0.000324,0.01265,1,2.43,0,4.10E-05,1,3.95,0,0,1,3.69,0,0,1,3.45,0,0,1,2.55,0,8.00E-06,1,1.84,0.000245,0.004113,1,3.38,0,0,1,5
5,FBgn0031489,CG17224,CG17224,1.24,0.070349,0.999395,0,1.63,0.00011,0.030326,1,2.57,0,0,1,2.44,0,0,1,2.1,0,6.00E-06,1,3.43,0,0,1,2.82,0,0,1,2.59,0,0,1,1.88,1.00E-06,5.60E-05,1,2.14,0,1.00E-06,1,2.18,0,6.00E-06,1,5
8,FBgn0014865,Metchnikowin,Mtk,1.04,0.887154,0.999395,0,4.8,3.00E-06,0.002109,1,9.96,0,0,1,6.59,0,1.30E-05,1,10.03,0,0,1,13.12,0,0,1,13.26,0,0,1,13.76,0,0,1,12.57,0,0,1,9.03,0,0,1,12.19,0,0,1,8
8,FBgn0037038,CG11037,CG11037,-1.98,0.040232,0.999395,0,2.89,9.10E-05,0.028336,1,2.69,0.000284,0.015974,1,6.21,0,0,1,9.21,0,0,1,7.03,0,0,1,7.48,0,0,1,9.96,0,0,1,9.57,0,0,1,6.48,0,0,1,7.61,0,0,1,8
8,FBgn0037562,CG11671,CG11671,1.1,0.680914,0.999395,0,3.58,1.00E-06,0.000879,1,6.24,0,0,1,7.03,0,0,1,8.08,0,0,1,10.26,0,0,1,8.94,0,0,1,9.26,0,0,1,6.43,0,0,1,5.29,0,0,1,7.25,0,0,1,8
8,FBgn0052368,CG32368,CG32368,-1.27,0.338704,0.999395,0,5.74,0,7.00E-06,1,10.91,0,0,1,8.62,0,0,1,8.65,0,0,1,12.27,0,0,1,10.45,0,0,1,10.34,0,0,1,7.25,0,0,1,5.63,0,0,1,6.77,0,0,1,8
8,FBgn0052279,drosomycin-2,dro2,-1.09,0.714563,0.999395,0,3.82,0,0.000321,1,4.02,0,3.90E-05,1,5.25,0,0,1,5.01,0,0,1,7.33,0,0,1,7.99,0,0,1,8.17,0,0,1,7.01,0,0,1,4.71,0,0,1,5.45,0,0,1,8
8,FBgn0034741,CG4269,CG4269,1.03,0.877649,0.999395,0,2.9,4.00E-06,0.002122,1,3.18,1.00E-06,0.000172,1,2.58,2.60E-05,0.001759,1,3.34,0,2.70E-05,1,4.99,0,0,1,4.42,0,0,1,3.98,0,1.00E-06,1,4.75,0,0,1,2.44,0.000233,0.003989,1,4.28,0,0,1,8
8,FBgn0051410,Niemann-Pick type C-2e,Npc2e,1.03,0.869406,0.999395,0,2.25,1.60E-05,0.006853,1,2.35,6.00E-06,0.000842,1,2.57,1.00E-06,0.00012,1,3.43,0,0,1,5.54,0,0,1,4.96,0,0,1,4.41,0,0,1,4.24,0,0,1,2.78,0,8.00E-06,1,3.96,0,0,1,8
8,FBgn0036068,CG6640,CG6640,1.15,0.376268,0.999395,0,2.4,1.00E-06,0.000748,1,3.09,0,1.00E-06,1,4.14,0,0,1,3.79,0,0,1,5.09,0,0,1,4.43,0,0,1,4.19,0,0,1,2.94,0,0,1,2.85,0,1.00E-06,1,3.91,0,0,1,8
8,FBgn0032002,CG8353,CG8353,-1.07,0.651079,0.999395,0,2.03,1.60E-05,0.006853,1,2.82,0,3.00E-06,1,3.48,0,0,1,3.13,0,0,1,4.32,0,0,1,3.71,0,0,1,3.67,0,0,1,2.84,0,0,1,2.19,2.00E-06,7.90E-05,1,3.11,0,0,1,8
0,FBgn0038484,CG5246,CG5246,-1.18,0.295821,0.999395,0,-1.26,0.14164,0.946789,0,-3.01,0,2.00E-06,1,-4.7,0,0,1,-4.54,0,0,1,-4.05,0,0,1,-3.46,0,0,1,-3.83,0,0,1,-3.43,0,0,1,-3.64,0,0,1,-2.66,0,3.00E-06,1,0
0,FBgn0038820,CG4000,CG4000,-1.17,0.374752,0.999395,0,-1.54,0.014509,0.480419,0,-2.12,5.10E-05,0.004191,1,-2.67,0,6.30E-05,1,-2.83,0,1.30E-05,1,-2.85,0,7.00E-06,1,-2.56,1.00E-06,5.40E-05,1,-2.98,0,3.00E-06,1,-4.09,0,0,1,-4.62,0,0,1,-3.53,0,0,1,0
0,FBgn0053173,CG33173,CG33173,1.26,0.277853,0.999395,0,-1.48,0.067498,0.847426,0,-3.01,2.00E-06,4.00E-04,1,-4.03,0,3.00E-06,1,-7.44,0,0,1,-4.46,0,0,1,-4.11,0,1.00E-06,1,-5.28,0,0,1,-5.37,0,0,1,-4.32,0,0,1,-4.76,0,0,1,0
0,FBgn0003357,Jonah 99Ciii,Jon99Ciii,1.33,0.026854,0.964922,0,-1,0.97557,0.998221,0,-1.72,5.50E-05,0.004463,1,-2.68,0,0,1,-3.44,0,0,1,-4.1,0,0,1,-4.97,0,0,1,-4.32,0,0,1,-5.47,0,0,1,-5.19,0,0,1,-5.66,0,0,1,0
0,FBgn0033774,CG12374,CG12374,1.43,0.040113,0.999395,0,-1.22,0.25719,0.964139,0,-2.26,1.20E-05,0.001354,1,-4.74,0,0,1,-5.81,0,0,1,-5.23,0,0,1,-7.84,0,0,1,-6.12,0,0,1,-6,0,0,1,-6.32,0,0,1,-6.58,0,0,1,0
0,FBgn0039342,CG5107,CG5107,-1.1,0.641594,0.999395,0,-1.36,0.145491,0.946789,0,-2.02,0.001305,0.045617,1,-4.4,0,1.00E-06,1,-5.92,0,0,1,-5.69,0,0,1,-7.49,0,0,1,-7.22,0,0,1,-7.54,0,0,1,-8.52,0,0,1,-7.18,0,0,1,0
0,FBgn0038611,CG14309,CG14309,-1.04,0.813752,0.999395,0,-1.09,0.636953,0.988335,0,-1.83,0.001245,0.044575,1,-2.44,6.00E-06,0.000493,1,-3.62,0,0,1,-3.33,0,1.00E-06,1,-3.42,0,1.00E-06,1,-4.31,0,0,1,-5.26,0,0,1,-6.75,0,0,1,-7.27,0,0,1,0
0,FBgn0039472,CG17192,CG17192,1.15,0.47912,0.999395,0,-1.28,0.201538,0.957756,0,-3.08,0,6.70E-05,1,-5.95,0,0,1,-5.76,0,0,1,-8.32,0,0,1,-7.7,0,0,1,-9.2,0,0,1,-9.56,0,0,1,-7.04,0,0,1,-8.74,0,0,1,0
1,FBgn0030317,CG1561,CG1561,-1.2,0.067876,0.999395,0,-1.49,0.000148,0.036112,0,-1.56,2.70E-05,0.002566,1,-1.74,1.00E-06,8.10E-05,1,-1.71,1.00E-06,7.60E-05,1,-1.86,0,4.00E-06,1,-1.9,0,2.00E-06,1,-2.12,0,0,1,-2.44,0,0,1,-2.99,0,0,1,-1.99,0,0,1,1
1,FBgn0039151,CG13607,CG13607,1.11,0.304574,0.999395,0,-1.24,0.03316,0.664013,0,-1.69,2.00E-06,0.00036,1,-1.68,2.00E-06,0.00026,1,-1.92,0,2.00E-06,1,-1.89,0,3.00E-06,1,-2.14,0,0,1,-1.9,0,2.00E-06,1,-2.4,0,0,1,-2.52,0,0,1,-2.02,0,0,1,1
1,FBgn0031461,dawdle,daw,1.02,0.867423,0.999395,0,-1.2,0.136459,0.940266,0,-2.08,0,5.50E-05,1,-2.39,0,1.00E-06,1,-1.86,2.10E-05,0.001023,1,-1.94,1.00E-06,6.40E-05,1,-2.25,0,1.00E-06,1,-2.25,0,1.00E-06,1,-2,0,2.30E-05,1,-2.1,0,5.00E-06,1,-2.04,0,1.30E-05,1,1
1,FBgn0039313,CG11892,CG11892,-1.01,0.921284,0.999703,0,-1.24,0.045273,0.749518,0,-1.53,0.000167,0.010381,1,-1.85,0,4.40E-05,1,-1.99,0,3.00E-06,1,-1.77,1.00E-06,6.90E-05,1,-1.65,1.50E-05,0.000611,1,-1.98,0,2.00E-06,1,-2.1,0,0,1,-2.23,0,0,1,-2.09,0,0,1,1
1,FBgn0053521,CG33521,CG33521,-1.43,0.023005,0.957371,0,-1.71,0.000984,0.118723,0,-2.14,7.00E-06,0.000985,1,-2.22,3.00E-06,0.000309,1,-2.27,2.00E-06,0.000126,1,-2.07,1.60E-05,0.00058,1,-1.84,0.000207,0.005529,1,-1.93,7.50E-05,0.002051,1,-2.07,1.50E-05,0.000457,1,-2.17,5.00E-06,0.000153,1,-2.13,8.00E-06,0.000235,1,1
1,FBgn0043783,CG32444,CG32444,-1.03,0.788383,0.999395,0,-1.33,0.01259,0.450174,0,-1.66,2.30E-05,0.002249,1,-1.81,1.00E-06,0.000161,1,-1.99,0,6.00E-06,1,-1.79,2.00E-06,9.60E-05,1,-1.87,0,3.10E-05,1,-1.91,0,1.30E-05,1,-2.66,0,0,1,-3.07,0,0,1,-2.21,0,0,1,1
1,FBgn0027571,CG3523,CG3523,1.02,0.868863,0.999395,0,-1.29,0.012272,0.444389,0,-1.82,0,4.00E-05,1,-1.71,1.00E-06,0.000161,1,-1.94,0,2.00E-06,1,-2.01,0,0,1,-2.03,0,0,1,-2.26,0,0,1,-2.27,0,0,1,-2.38,0,0,1,-2.41,0,0,1,1
1,FBgn0051772,CG31772,CG31772,1.05,0.622692,0.999395,0,1.04,0.729904,0.988753,0,-1.61,3.00E-05,0.002735,1,-2.07,0,1.00E-06,1,-2.06,0,1.00E-06,1,-2.33,0,0,1,-2.35,0,0,1,-2.15,0,1.00E-06,1,-2.1,0,0,1,-2.13,0,0,1,-2.45,0,0,1,1
1,FBgn0023077,inaF-A,inaF-A,-1.16,0.396053,0.999395,0,-1.59,0.01046,0.411658,0,-2.08,0.000104,0.007402,1,-1.96,0.000927,0.028069,1,-2.43,5.00E-06,0.00028,1,-2.03,0.000173,0.004377,1,-2.15,5.60E-05,0.001845,1,-2.06,0.000132,0.003236,1,-2.08,0.000102,0.002207,1,-2.47,3.00E-06,0.000105,1,-2.5,3.00E-06,9.30E-05,1,1
1,FBgn0032726,CG10621,CG10621,-1.01,0.906416,0.999395,0,-1.52,0.000314,0.060684,0,-1.88,0,9.90E-05,1,-2.28,0,0,1,-2.78,0,0,1,-2.23,0,0,1,-2.08,0,1.00E-06,1,-2.46,0,0,1,-3.59,0,0,1,-2.94,0,0,1,-2.51,0,0,1,1
1,FBgn0035781,CG8560,CG8560,1.18,0.08793,0.999395,0,-1.17,0.103259,0.917012,0,-1.95,0,3.00E-06,1,-2.39,0,0,1,-2.55,0,0,1,-2.58,0,0,1,-2.77,0,0,1,-2.56,0,0,1,-2.64,0,0,1,-2.47,0,0,1,-2.57,0,0,1,1
1,FBgn0020640,Lcp65Ae,Lcp65Ae,-1.75,0.000192,0.229932,0,-1.15,0.329923,0.968993,0,-2.21,1.00E-06,0.000134,1,-1.64,0.000756,0.02388,1,-2.3,0,1.70E-05,1,-2.45,0,3.00E-06,1,-2.4,0,5.00E-06,1,-3.26,0,0,1,-3.09,0,0,1,-3.23,0,0,1,-2.72,0,0,1,1
1,FBgn0035667,Jonah 65Ai,Jon65Ai,-1.05,0.711938,0.999395,0,-1.17,0.216699,0.957756,0,-1.53,0.001266,0.044984,1,-2.06,0,6.60E-05,1,-2.41,0,1.00E-06,1,-2.19,0,5.00E-06,1,-2.67,0,0,1,-2.64,0,0,1,-2.94,0,0,1,-3.15,0,0,1,-2.74,0,0,1,1
1,FBgn0035779,CG8562,CG8562,1.19,0.175101,0.999395,0,-1.12,0.377914,0.97412,0,-1.53,0.001275,0.045049,1,-2.14,0,2.10E-05,1,-2.36,0,1.00E-06,1,-2.45,0,0,1,-2.61,0,0,1,-2.59,0,0,1,-2.89,0,0,1,-2.88,0,0,1,-2.89,0,0,1,1
1,FBgn0035666,Jonah 65Aii,Jon65Aii,-1.02,0.854375,0.999395,0,-1.29,0.028459,0.634064,0,-1.71,1.80E-05,0.001819,1,-2.4,0,0,1,-2.52,0,0,1,-2.45,0,0,1,-2.97,0,0,1,-2.53,0,0,1,-3.08,0,0,1,-2.73,0,0,1,-2.95,0,0,1,1
1,FBgn0052751,CG32751,CG32751,1.03,0.870001,0.999395,0,-1.24,0.206156,0.957756,0,-2.16,2.00E-05,0.002031,1,-2.03,7.00E-05,0.003755,1,-2.42,2.00E-06,0.000121,1,-1.99,0.000113,0.00308,1,-1.89,0.000308,0.00762,1,-3.75,0,0,1,-3.29,0,0,1,-2.73,0,5.00E-06,1,-3.08,0,0,1,1
1,FBgn0036996,CG5932,CG5932,1.22,0.066494,0.999395,0,-1.11,0.325442,0.968964,0,-1.62,3.50E-05,0.003164,1,-2.53,0,0,1,-2.53,0,0,1,-2.54,0,0,1,-2.37,0,0,1,-2.78,0,0,1,-3.92,0,0,1,-3.2,0,0,1,-3.25,0,0,1,1
1,FBgn0032144,CG17633,CG17633,1.18,0.067667,0.999395,0,-1.03,0.765171,0.990573,0,-1.56,4.00E-06,0.000658,1,-2.41,0,0,1,-2.75,0,0,1,-2.44,0,0,1,-2.78,0,0,1,-2.74,0,0,1,-3.23,0,0,1,-3.44,0,0,1,-3.27,0,0,1,1
1,FBgn0030439,CG12716,CG12716,-1.17,0.294359,0.999395,0,-1.03,0.860784,0.996946,0,-1.75,0.000374,0.019374,1,-1.87,8.70E-05,0.004516,1,-1.85,0.000113,0.003994,1,-2.63,0,2.00E-06,1,-2.31,1.00E-06,3.90E-05,1,-2.69,0,1.00E-06,1,-3.06,0,0,1,-2.86,0,0,1,-3.41,0,0,1,1
3,FBgn0039152,CG6129,CG6129,-1.06,0.532126,0.999395,0,-1.29,0.004454,0.277451,0,-1.74,0,1.40E-05,1,-1.56,3.00E-06,0.000344,1,-1.53,7.00E-06,0.000392,1,-1.7,0,6.00E-06,1,-1.68,0,1.10E-05,1,-1.63,1.00E-06,3.00E-05,1,-1.71,0,4.00E-06,1,-1.56,3.00E-06,9.80E-05,1,-1.53,8.00E-06,0.000241,1,3
3,FBgn0003721,Tropomyosin 1,Tm1,-1.16,0.153255,0.999395,0,-1.41,0.001986,0.187877,0,-1.54,0.000139,0.00924,1,-1.59,4.60E-05,0.002726,1,-1.54,0.000142,0.004809,1,-1.65,1.50E-05,0.000555,1,-1.51,0.00025,0.006441,1,-1.61,2.90E-05,0.000902,1,-1.84,0,1.70E-05,1,-1.76,2.00E-06,5.20E-05,1,-1.54,0.000134,0.002642,1,3
3,FBgn0037146,CG7470,CG7470,-1.06,0.59378,0.999395,0,-1.11,0.29879,0.968665,0,-1.64,1.30E-05,0.001404,1,-1.98,0,3.00E-06,1,-1.91,0,6.00E-06,1,-1.81,0,2.30E-05,1,-1.7,4.00E-06,0.000177,1,-1.83,0,1.50E-05,1,-1.89,0,5.00E-06,1,-2.04,0,0,1,-1.59,3.10E-05,0.000777,1,3
3,FBgn0015609,Cadherin-N,CadN,-1.06,0.62295,0.999395,0,-1.42,0.002472,0.204189,0,-2.02,0,3.00E-05,1,-1.73,0.000965,0.029014,1,-1.78,1.80E-05,0.000882,1,-1.78,8.50E-05,0.002449,1,-1.77,1.70E-05,0.00068,1,-1.87,1.00E-06,3.50E-05,1,-1.54,0.000732,0.011628,1,-1.9,0,1.80E-05,1,-1.6,9.80E-05,0.002077,1,3
3,FBgn0002719,Malic enzyme,Men,1.06,0.487251,0.999395,0,-1.15,0.126644,0.933453,0,-1.79,0,1.10E-05,1,-1.57,4.00E-06,0.000391,1,-1.56,6.00E-06,0.000356,1,-1.62,1.00E-06,7.40E-05,1,-1.66,0,3.10E-05,1,-1.98,0,0,1,-1.79,0,1.00E-06,1,-1.77,0,2.00E-06,1,-1.62,1.00E-06,5.10E-05,1,3
3,FBgn0033782,sugarbabe,sug,1.12,0.257162,0.999395,0,-1.16,0.134124,0.940266,0,-1.68,1.00E-06,0.000243,1,-1.75,0,4.50E-05,1,-1.69,1.00E-06,7.40E-05,1,-1.74,0,2.00E-05,1,-1.95,0,0,1,-1.77,0,1.00E-05,1,-2.11,0,0,1,-2.02,0,0,1,-1.7,1.00E-06,3.20E-05,1,3
3,FBgn0036672,Limpet,Lmpt,1,0.960602,0.999703,0,-1.44,0.00031,0.060684,0,-1.76,0,5.70E-05,1,-1.73,0,6.30E-05,1,-1.69,1.00E-06,6.70E-05,1,-1.56,1.90E-05,0.000658,1,-1.6,8.00E-06,0.000329,1,-1.72,0,2.80E-05,1,-1.78,0,7.00E-06,1,-1.75,0,9.00E-06,1,-1.78,0,7.00E-06,1,3
3,FBgn0033216,CG1946,CG1946,1.16,0.177009,0.999395,0,-1.18,0.144313,0.946789,0,-1.53,0.00026,0.014788,1,-1.58,0.000108,0.005524,1,-1.66,9.30E-05,0.003487,1,-1.6,6.90E-05,0.002043,1,-1.54,0.000251,0.00645,1,-2,0,4.00E-06,1,-1.77,3.00E-06,0.000107,1,-1.85,1.00E-06,2.50E-05,1,-1.83,1.00E-06,4.10E-05,1,3
3,FBgn0022160,Glycerophosphate oxidase-1,Gpo-1,1.16,0.114512,0.999395,0,-1.26,0.015516,0.495049,0,-1.61,3.00E-06,0.000504,1,-1.6,4.00E-06,0.00042,1,-1.68,1.00E-06,4.80E-05,1,-1.51,4.50E-05,0.001404,1,-1.72,0,1.90E-05,1,-1.88,0,1.00E-06,1,-2.28,0,0,1,-2.33,0,0,1,-1.99,0,0,1,3
3,FBgn0035734,CG14823,CG14823,-1.07,0.63872,0.999395,0,-1.57,0.003204,0.235311,0,-2.31,0,0.000129,1,-1.68,0.000808,0.025046,1,-1.67,0.002586,0.049985,1,-2.29,1.00E-06,3.60E-05,1,-1.74,0.000393,0.009322,1,-2.51,0,4.00E-06,1,-2.3,1.00E-06,2.50E-05,1,-2.83,0,2.00E-06,1,-2.08,6.00E-06,0.000196,1,3
5,FBgn0038299,CG6687,CG6687,-1.1,0.552626,0.999395,0,1.27,0.1325,0.940266,0,2.26,3.00E-06,0.000557,1,2.68,0,1.30E-05,1,2.32,2.00E-06,0.000139,1,3.81,0,0,1,3.53,0,0,1,3.2,0,0,1,2.58,0,9.00E-06,1,2.67,0,4.00E-06,1,3.32,0,0,1,5
5,FBgn0032879,CG9317,CG9317,1.09,0.48253,0.999395,0,-1.02,0.853962,0.996946,0,1.64,0.000141,0.009307,1,2.22,0,4.00E-06,1,2.52,0,0,1,2.44,0,0,1,2.6,0,0,1,3.22,0,0,1,3.17,0,0,1,2.76,0,0,1,3.19,0,0,1,5
5,FBgn0030993,Mec2,Mec2,-1.19,0.626709,0.999395,0,1.43,0.121432,0.928529,0,2.19,0.000485,0.023345,1,3.63,0,3.10E-05,1,2.13,0.001881,0.039133,1,3.83,0,6.00E-06,1,2.74,1.60E-05,0.000622,1,2.5,0.003162,0.040575,1,2.49,0.000223,0.004328,1,2.14,0.004588,0.040637,1,3.08,1.20E-05,0.00035,1,5
5,FBgn0031412,CG16995,CG16995,1.07,0.672446,0.999395,0,1.24,0.170347,0.949598,0,2.39,1.00E-06,0.000211,1,2.14,1.20E-05,0.000927,1,1.99,5.80E-05,0.002355,1,2.77,0,3.00E-06,1,2.27,1.50E-05,0.000601,1,2.56,0,1.10E-05,1,2.04,0.000125,0.002635,1,2.16,9.00E-06,0.000246,1,3.01,0,0,1,5
